"Season","Week","Tm_ID","Opp_ID","Loc","Result","Notes","Date","Playoff","Tm_score","Opp_score","Score_diff","Win","Cal_Week","Multi_Week","Excl_Harbin","Excl_Elo","Opp_Reg","nonOHSAA","nonOHSAA_div","Tm_OH"
"2018",1,"100","1576","H","W","",2018-08-24,0,30,16,14,1,"34",NA,0,0,"28",0,NA,1
"2018",2,"100","136","H","L","",2018-08-31,0,6,37,-31,0,"35",NA,0,0,"26",0,NA,1
"2018",3,"100","874","A","","",2018-09-08,0,NA,NA,NA,0,"36",NA,0,0,"24",0,NA,1
"2018",4,"100","772","H","","",2018-09-14,0,NA,NA,NA,0,"37",NA,0,0,"24",0,NA,1
"2018",5,"100","1468","H","","",2018-09-21,0,NA,NA,NA,0,"38",NA,0,0,"24",0,NA,1
"2018",6,"100","412","A","","",2018-09-28,0,NA,NA,NA,0,"39",NA,0,0,"22",0,NA,1
"2018",7,"100","438","H","","",2018-10-05,0,NA,NA,NA,0,"40",NA,0,0,"28",0,NA,1
"2018",8,"100","1236","A","","",2018-10-12,0,NA,NA,NA,0,"41",NA,0,0,"18",0,NA,1
"2018",9,"100","236","A","","",2018-10-19,0,NA,NA,NA,0,"42",NA,0,0,"22",0,NA,1
"2018",10,"100","110","A","","",2018-10-26,0,NA,NA,NA,0,"43",NA,0,0,"22",0,NA,1
"2018",1,"1000","788","A","W","ot",2018-08-24,0,32,26,6,1,"34",NA,0,0,"15",0,NA,1
"2018",2,"1000","162","A","W","",2018-08-31,0,26,7,19,1,"35",NA,0,0,"23",0,NA,1
"2018",3,"1000","1344","H","","",2018-09-07,0,NA,NA,NA,0,"36",NA,0,0,"15",0,NA,1
"2018",4,"1000","1406","A","","",2018-09-14,0,NA,NA,NA,0,"37",NA,0,0,"23",0,NA,1
"2018",5,"1000","1058","H","","",2018-09-21,0,NA,NA,NA,0,"38",NA,0,0,"21",0,NA,1
"2018",6,"1000","426","H","","",2018-09-28,0,NA,NA,NA,0,"39",NA,0,0,"19",0,NA,1
"2018",7,"1000","1566","A","","",2018-10-05,0,NA,NA,NA,0,"40",NA,0,0,"19",0,NA,1
"2018",8,"1000","1316","H","","",2018-10-12,0,NA,NA,NA,0,"41",NA,0,0,"15",0,NA,1
"2018",9,"1000","10200","H","","",2018-10-19,0,NA,NA,NA,0,"42",NA,0,0,"0",1,"6",1
"2018",10,"1000","300","A","","",2018-10-26,0,NA,NA,NA,0,"43",NA,0,0,"15",0,NA,1
"2018",1,"10007","10130","H","L","",2018-08-23,0,12,66,-54,0,"34",NA,0,0,"0",1,"2",0
"2018",3,"10007","10121","A","","",2018-09-07,0,NA,NA,NA,0,"36",NA,0,0,"",1,"",0
"2018",4,"10007","10071","H","","",2018-09-14,0,NA,NA,NA,0,"37",NA,0,0,"0",1,"1",0
"2018",5,"10007","10098","A","","",2018-09-21,0,NA,NA,NA,0,"38",NA,0,0,"0",1,"3",0
"2018",6,"10007","751","H","","",2018-09-28,0,NA,NA,NA,0,"39",NA,0,0,"13",0,NA,0
"2018",7,"10007","10085","A","","",2018-10-05,0,NA,NA,NA,0,"40",NA,0,0,"0",1,"2",0
"2018",8,"10007","10052","H","","",2018-10-12,0,NA,NA,NA,0,"41",NA,0,0,"0",1,"2",0
"2018",9,"10007","10008","A","","",2018-10-19,0,NA,NA,NA,0,"42",NA,0,0,"",1,"",0
"2018",10,"10007","10128","H","","",2018-10-26,0,NA,NA,NA,0,"43",NA,0,0,"0",1,"4",0
"2018",11,"10007","10095","A","*","",2018-11-02,0,NA,NA,NA,0,"44",NA,1,0,"",1,"",0
"2018",1,"10013","12467","H","W","",2018-08-24,0,22,14,8,1,"34",NA,0,0,"",1,"",0
"2018",2,"10013","10045","A","W","",2018-08-31,0,54,0,54,1,"35",NA,0,0,"0",1,"7",0
"2018",3,"10013","10123","H","","",2018-09-07,0,NA,NA,NA,0,"36",NA,0,0,"0",1,"7",0
"2018",4,"10013","618","A","","",2018-09-14,0,NA,NA,NA,0,"37",NA,0,0,"27",0,NA,0
"2018",5,"10013","10059","H","","",2018-09-21,0,NA,NA,NA,0,"38",NA,0,0,"0",1,"7",0
"2018",6,"10013","10082","A","","",2018-09-28,0,NA,NA,NA,0,"39",NA,0,0,"0",1,"7",0
"2018",7,"10013","418","H","","",2018-10-05,0,NA,NA,NA,0,"40",NA,0,0,"25",0,NA,0
"2018",8,"10013","10018","A","","",2018-10-12,0,NA,NA,NA,0,"41",NA,0,0,"0",1,"7",0
"2018",9,"10013","172","A","","",2018-10-19,0,NA,NA,NA,0,"42",NA,0,0,"27",0,NA,0
"2018",10,"10013","250","H","","",2018-10-26,0,NA,NA,NA,0,"43",NA,0,0,"23",0,NA,0
"2018",1,"10018","10045","H","W","",2018-08-24,0,61,0,61,1,"34",NA,0,0,"0",1,"7",0
"2018",2,"10018","10065","A","L","",2018-08-31,0,0,14,-14,0,"35",NA,0,0,"",1,"",0
"2018",4,"10018","10123","A","","",2018-09-14,0,NA,NA,NA,0,"37",NA,0,0,"0",1,"7",0
"2018",5,"10018","10118","H","","",2018-09-21,0,NA,NA,NA,0,"38",NA,0,0,"",1,"",0
"2018",6,"10018","10012","A","","",2018-09-28,0,NA,NA,NA,0,"39",NA,0,0,"",1,"",0
"2018",7,"10018","10082","H","","",2018-10-05,0,NA,NA,NA,0,"40",NA,0,0,"0",1,"7",0
"2018",8,"10018","10013","H","","",2018-10-12,0,NA,NA,NA,0,"41",NA,0,0,"0",1,"7",0
"2018",9,"10018","418","H","","",2018-10-19,0,NA,NA,NA,0,"42",NA,0,0,"25",0,NA,0
"2018",10,"10018","10078","A","","",2018-10-26,0,NA,NA,NA,0,"43",NA,0,0,"0",1,"7",0
"2018",11,"10018","10059","A","*","",2018-11-02,0,NA,NA,NA,0,"44",NA,1,0,"0",1,"7",0
"2018",1,"1002","9901","H","W*","",2018-08-24,0,38,6,32,1,"34",NA,1,0,"",1,"",1
"2018",2,"1002","1578","A","L","",2018-08-31,0,30,62,-32,0,"35",NA,0,0,"16",0,NA,1
"2018",3,"1002","1258","A","","",2018-09-07,0,NA,NA,NA,0,"36",NA,0,0,"12",0,NA,1
"2018",4,"1002","9911","H","*","",2018-09-14,0,NA,NA,NA,0,"37",NA,1,0,"",1,"",1
"2018",5,"1002","1235","A","","",2018-09-20,0,NA,NA,NA,0,"38",NA,0,0,"12",0,NA,1
"2018",6,"1002","186","H","","",2018-09-28,0,NA,NA,NA,0,"39",NA,0,0,"11",0,NA,1
"2018",7,"1002","476","H","","",2018-10-06,0,NA,NA,NA,0,"40",NA,0,0,"12",0,NA,1
"2018",8,"1002","402","H","","",2018-10-11,0,NA,NA,NA,0,"41",NA,0,0,"12",0,NA,1
"2018",9,"1002","1330","H","","",2018-10-18,0,NA,NA,NA,0,"42",NA,0,0,"12",0,NA,1
"2018",10,"1002","192","A","","",2018-10-25,0,NA,NA,NA,0,"43",NA,0,0,"8",0,NA,1
"2018",1,"1004","806","A","W","",2018-08-24,0,54,14,40,1,"34",NA,0,0,"16",0,NA,1
"2018",2,"1004","1310","H","W","",2018-08-31,0,42,0,42,1,"35",NA,0,0,"28",0,NA,1
"2018",3,"1004","1452","H","","",2018-09-07,0,NA,NA,NA,0,"36",NA,0,0,"28",0,NA,1
"2018",4,"1004","672","A","","",2018-09-14,0,NA,NA,NA,0,"37",NA,0,0,"20",0,NA,1
"2018",5,"1004","928","H","","",2018-09-21,0,NA,NA,NA,0,"38",NA,0,0,"20",0,NA,1
"2018",6,"1004","1688","A","","",2018-09-28,0,NA,NA,NA,0,"39",NA,0,0,"24",0,NA,1
"2018",7,"1004","1682","H","","",2018-10-05,0,NA,NA,NA,0,"40",NA,0,0,"20",0,NA,1
"2018",8,"1004","1538","H","","",2018-10-12,0,NA,NA,NA,0,"41",NA,0,0,"28",0,NA,1
"2018",9,"1004","1136","A","","",2018-10-19,0,NA,NA,NA,0,"42",NA,0,0,"24",0,NA,1
"2018",10,"1004","544","A","","",2018-10-26,0,NA,NA,NA,0,"43",NA,0,0,"23",0,NA,1
"2018",1,"10040","10117","A","L","",2018-08-24,0,0,56,-56,0,"34",NA,0,0,"",1,"",0
"2018",2,"10040","668","H","L","",2018-08-31,0,14,86,-72,0,"35",NA,0,0,"27",0,NA,0
"2018",3,"10040","938","A","","",2018-09-07,0,NA,NA,NA,0,"36",NA,0,0,"27",0,NA,0
"2018",4,"10040","10045","H","","",2018-09-14,0,NA,NA,NA,0,"37",NA,0,0,"0",1,"7",0
"2018",5,"10040","10124","H","","",2018-09-21,0,NA,NA,NA,0,"38",NA,0,0,"",1,"",0
