"Season","Week","Tm_ID","Opp_ID","Loc","Result","Notes","Date","Playoff","Tm_score","Opp_score","Opp_Div","Score_diff","Win","Cal_Week","Multi_Week","Excl_Harbin","Excl_Elo","Opp_Reg","nonOHSAA","nonOHSAA_div","Tm_lon","Tm_lat","Opp_lon","Opp_lat","trav_est"
"2013",1,"10003","10013","N","W","",2013-08-29,0,48,12,7,36,1,"34",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",2,"10003","1306","H","W","",2013-09-07,0,59,21,7,38,1,"35",NA,0,0,"21",0,NA,NA,NA,NA,NA,NA
"2013",3,"10003","10018","A","L","",2013-09-13,0,6,35,7,-29,0,"36",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",4,"10003","1362","A","W","",2013-09-21,0,26,6,7,20,1,"37",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",5,"10003","10078","A","L","",2013-09-27,0,16,37,7,-21,0,"38",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",7,"10003","10059","A","L","",2013-10-11,0,20,48,7,-28,0,"40",NA,0,0,"0",1,"6",NA,NA,NA,NA,NA
"2013",8,"10003","10082","H","W","",2013-10-18,0,48,6,7,42,1,"41",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",9,"10003","172","H","W","",2013-10-26,0,42,13,7,29,1,"42",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",10,"10003","10129","A","W","",2013-11-02,0,33,32,7,1,1,"43",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",11,"10003","10119","H","W*","",2013-11-07,0,47,28,7,19,1,"44",NA,1,0,"",1,"7",NA,NA,NA,NA,NA
"2013",1,"10007","10071","A","L","",2013-08-30,0,7,47,3,-40,0,"34",NA,0,0,"",1,"3",NA,NA,NA,NA,NA
"2013",2,"10007","12489","H","W","",2013-09-06,0,21,19,3,2,1,"35",NA,0,0,"0",1,"2",NA,NA,NA,NA,NA
"2013",3,"10007","10121","H","L","",2013-09-13,0,21,44,3,-23,0,"36",NA,0,0,"",1,"3",NA,NA,NA,NA,NA
"2013",4,"10007","1488","H","L","",2013-09-20,0,15,32,3,-17,0,"37",NA,0,0,"13",0,NA,NA,NA,NA,NA,NA
"2013",5,"10007","10130","A","L","",2013-09-27,0,16,34,3,-18,0,"38",NA,0,0,"0",1,"1",NA,NA,NA,NA,NA
"2013",6,"10007","10093","H","L","",2013-10-04,0,7,35,3,-28,0,"39",NA,0,0,"",1,"3",NA,NA,NA,NA,NA
"2013",8,"10007","10085","H","W","",2013-10-18,0,41,28,3,13,1,"41",NA,0,0,"0",1,"1",NA,NA,NA,NA,NA
"2013",9,"10007","10128","A","W","",2013-10-25,0,55,28,3,27,1,"42",NA,0,0,"0",1,"4",NA,NA,NA,NA,NA
"2013",10,"10007","10052","A","L","",2013-11-01,0,27,28,3,-1,0,"43",NA,0,0,"0",1,"3",NA,NA,NA,NA,NA
"2013",11,"10007","10011","A","L*","",2013-11-08,0,12,48,3,-36,0,"44",NA,1,0,"",1,"3",NA,NA,NA,NA,NA
"2013",1,"10009","10084","A","L","",2013-08-31,0,12,42,7,-30,0,"34",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",2,"10009","10142","A","L","",2013-09-06,0,16,54,7,-38,0,"35",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",3,"10009","10091","H","L","",2013-09-13,0,28,32,7,-4,0,"36",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",4,"10009","10036","H","L","",2013-09-20,0,12,53,7,-41,0,"37",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",5,"10009","10032","A","L","",2013-09-27,0,46,61,7,-15,0,"38",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",6,"10009","10119","A","L","",2013-10-04,0,14,46,7,-32,0,"39",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",7,"10009","10134","A","L","",2013-10-11,0,14,48,7,-34,0,"40",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",9,"10009","10027","A","L","",2013-10-25,0,14,38,7,-24,0,"42",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",10,"10009","1514","H","L","",2013-11-01,0,28,50,7,-22,0,"43",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
