"Season","Week","Tm_ID","Opp_ID","Loc","Result","Notes","Date","Playoff","Tm_score","Opp_score","Score_diff","Win","Cal_Week","Multi_Week","Excl_Harbin","Excl_Elo","Opp_Reg","nonOHSAA","nonOHSAA_div"
"2018",2,"10007","10130","H","","",2018-08-23,0,NA,NA,NA,0,"34",NA,0,0,"",1,""
"2018",4,"10007","10121","A","","",2018-09-07,0,NA,NA,NA,0,"36",NA,0,0,"",1,""
"2018",5,"10007","10071","H","","",2018-09-14,0,NA,NA,NA,0,"37",NA,0,0,"",1,""
"2018",6,"10007","10098","A","","",2018-09-21,0,NA,NA,NA,0,"38",NA,0,0,"",1,""
"2018",7,"10007","751","H","","",2018-09-28,0,NA,NA,NA,0,"39",NA,0,0,"13",0,NA
"2018",8,"10007","10085","A","","",2018-10-05,0,NA,NA,NA,0,"40",NA,0,0,"",1,""
"2018",9,"10007","10052","H","","",2018-10-12,0,NA,NA,NA,0,"41",NA,0,0,"",1,""
"2018",10,"10007","10008","A","","",2018-10-19,0,NA,NA,NA,0,"42",NA,0,0,"",1,""
"2018",11,"10007","10128","H","","",2018-10-26,0,NA,NA,NA,0,"43",NA,0,0,"",1,""
"2018",12,"10007","10095","A","*","",2018-11-02,0,NA,NA,NA,0,"44",NA,1,0,"",1,""
"2018",2,"10013","12467","H","","",2018-08-24,0,NA,NA,NA,0,"34",NA,0,0,"",1,""
"2018",3,"10013","10045","A","","",2018-08-31,0,NA,NA,NA,0,"35",NA,0,0,"",1,""
"2018",4,"10013","10123","H","","",2018-09-07,0,NA,NA,NA,0,"36",NA,0,0,"",1,""
"2018",5,"10013","618","A","","",2018-09-14,0,NA,NA,NA,0,"37",NA,0,0,"27",0,NA
"2018",6,"10013","10059","H","","",2018-09-21,0,NA,NA,NA,0,"38",NA,0,0,"",1,""
"2018",7,"10013","10082","A","","",2018-09-28,0,NA,NA,NA,0,"39",NA,0,0,"",1,""
"2018",8,"10013","418","H","","",2018-10-05,0,NA,NA,NA,0,"40",NA,0,0,"25",0,NA
"2018",9,"10013","10018","A","","",2018-10-12,0,NA,NA,NA,0,"41",NA,0,0,"",1,""
