"TeamID","City","School","Yr","Reg","Div","YrID","Wins","Losses"
"1428","Solon","Solon",2002,1,1,"2002_1428","10","0"
"692","Warren","Warren G Harding",2002,1,1,"2002_692","10","0"
"1346","Lakewood","St Edward",2002,1,1,"2002_1346","9","1"
"1016","Mentor","Mentor",2002,1,1,"2002_1016","9","1"
"140","Ashtabula","Lakeside",2002,1,1,"2002_140","8","2"
"1588","Parma Heights","Valley Forge",2002,1,1,"2002_1588","8","2"
"1354","Cleveland","St Ignatius",2002,1,1,"2002_1354","7","3"
"1498","Strongsville","Strongsville",2002,1,1,"2002_1498","7","3"
"652","Cleveland","Glenville",2002,1,1,"2002_652","7","2"
"1146","North Olmsted","North Olmsted",2002,1,1,"2002_1146","8","2"
"148","Youngstown","Austintown-Fitch",2002,1,1,"2002_148","6","4"
"238","Youngstown","Boardman",2002,1,1,"2002_238","6","4"
"784","Cleveland","John F Kennedy",2002,1,1,"2002_784","6","3"
"248","Broadview Heights","Brecksville-Broadview Heights",2002,1,1,"2002_248","6","4"
"540","Euclid","Euclid",2002,1,1,"2002_540","6","4"
"792","Cleveland","John Marshall",2002,1,1,"2002_792","6","4"
"385","Cleveland Heights","Cleveland Heights",2002,1,1,"2002_385","4","6"
"1028","Middleburg Heights","Midpark",2002,1,1,"2002_1028","4","6"
"270","Lyndhurst","Brush",2002,1,1,"2002_270","2","8"
"1122","Eastlake","North",2002,1,1,"2002_1122","3","7"
"1408","Shaker Heights","Shaker Heights",2002,1,1,"2002_1408","3","7"
"1292","Cleveland","Rhodes",2002,1,1,"2002_1292","2","8"
"1154","North Royalton","North Royalton",2002,1,1,"2002_1154","3","7"
"398","Cleveland","Collinwood",2002,1,1,"2002_398","2","7"
"880","Cleveland","Lincoln West",2002,1,1,"2002_880","1","9"
"1434","Cleveland","South",2002,1,1,"2002_1434","1","8"
"832","Lakewood","Lakewood",2002,1,1,"2002_832","1","9"
"1232","Parma","Parma",2002,1,1,"2002_1232","1","9"
"274","Akron","Buchtel",2002,10,3,"2002_274","10","0"
"724","Akron","Archbishop Hoban",2002,10,3,"2002_724","9","1"
"1184","Oak Harbor","Oak Harbor",2002,10,3,"2002_1184","9","1"
"1710","Willard","Willard",2002,10,3,"2002_1710","9","1"
"276","Medina","Buckeye",2002,10,3,"2002_276","9","1"
"1162","Canal Fulton","Northwest",2002,10,3,"2002_1162","9","1"
"1614","Cuyahoga Falls","Walsh Jesuit",2002,10,3,"2002_1614","6","4"
"1080","Napoleon","Napoleon",2002,10,3,"2002_1080","9","1"
"1548","Wooster","Triway",2002,10,3,"2002_1548","7","3"
"1432","Canton","Canton South",2002,10,3,"2002_1432","8","2"
"392","Clyde","Clyde",2002,10,3,"2002_392","6","4"
"1158","Norton","Norton",2002,10,3,"2002_1158","6","4"
"606","Fostoria","Fostoria",2002,10,3,"2002_606","5","5"
"190","Bellevue","Bellevue",2002,10,3,"2002_190","6","4"
"856","Lexington","Lexington",2002,10,3,"2002_856","4","6"
"1120","Akron","North",2002,10,3,"2002_1120","5","5"
"710","Medina","Highland",2002,10,3,"2002_710","4","6"
"340","Canton","Canton Central Catholic",2002,10,3,"2002_340","4","6"
"1680","Millersburg","West Holmes",2002,10,3,"2002_1680","3","7"
"1160","Norwalk","Norwalk",2002,10,3,"2002_1160","3","7"
"1240","Sandusky","Perkins",2002,10,3,"2002_1240","3","7"
"1046","Minerva","Minerva",2002,10,3,"2002_1046","3","7"
"1210","Orrville","Orrville",2002,10,3,"2002_1210","2","8"
"428","Akron","Coventry",2002,10,3,"2002_428","3","7"
"1416","Shelby","Shelby",2002,10,3,"2002_1416","2","8"
"272","Bryan","Bryan",2002,10,3,"2002_272","3","7"
"620","Galion","Galion",2002,10,3,"2002_620","1","9"
"1598","Vermilion","Vermilion",2002,10,3,"2002_1598","1","9"
"964","Alliance","Marlington",2002,10,3,"2002_964","1","9"
"1266","Port Clinton","Port Clinton",2002,10,3,"2002_1266","0","10"
"870","Newark","Licking Valley",2002,11,3,"2002_870","10","0"
"1348","Columbus","St Francis DeSales",2002,11,3,"2002_1348","7","3"
"622","Gallipolis","Gallia Academy",2002,11,3,"2002_622","8","2"
"224","Columbus","Bishop Watterson",2002,11,3,"2002_224","6","4"
"686","Columbus","Hamilton Township",2002,11,3,"2002_686","8","2"
"370","Circleville","Circleville",2002,11,3,"2002_370","8","2"
"186","Columbus","Beechcroft",2002,11,3,"2002_186","8","2"
"1420","Thornville","Sheridan",2002,11,3,"2002_1420","8","2"
"1700","Whitehall","Whitehall-Yearling",2002,11,3,"2002_1700","8","2"
"214","Sunbury","Big Walnut",2002,11,3,"2002_214","7","3"
"472","Dover","Dover",2002,11,3,"2002_472","8","2"
"788","New Concord","John Glenn",2002,11,3,"2002_788","7","3"
"376","Uhrichsville","Claymont",2002,11,3,"2002_376","7","3"
"212","Columbus","Bexley",2002,11,3,"2002_212","5","5"
"762","Jackson","Jackson",2002,11,3,"2002_762","4","6"
"982","Zanesville","Maysville",2002,11,3,"2002_982","5","5"
"1008","Pomeroy","Meigs",2002,11,3,"2002_1008","4","6"
"332","Columbus","Centennial",2002,11,3,"2002_332","4","6"
"882","Columbus","Linden McKinley",2002,11,3,"2002_882","4","6"
"890","Circleville","Logan Elm",2002,11,3,"2002_890","3","7"
"502","Columbus","Eastmoor Academy",2002,11,3,"2002_502","4","6"
"286","Delaware","Buckeye Valley",2002,11,3,"2002_286","4","6"
"830","Hebron","Lakewood",2002,11,3,"2002_830","2","8"
"1604","McArthur","Vinton County",2002,11,3,"2002_1604","2","8"
"300","Cambridge","Cambridge",2002,11,3,"2002_300","2","8"
"1544","Dresden","Tri-Valley",2002,11,3,"2002_1544","2","8"
"1252","Philo","Philo",2002,11,3,"2002_1252","1","9"
"345","Grove City","Central Crossing",2002,11,3,"2002_345","0","10"
"1000","Byesville","Meadowbrook",2002,11,3,"2002_1000","0","10"
"1068","McConnelsville","Morgan",2002,11,3,"2002_1068","0","10"
"1618","Vincent","Warren",2002,11,3,"2002_1618","0","10"
"1578","Urbana","Urbana",2002,12,3,"2002_1578","10","0"
"1590","Germantown","Valley View",2002,12,3,"2002_1590","10","0"
"1534","Tipp City","Tippecanoe",2002,12,3,"2002_1534","8","2"
"184","Bellbrook","Bellbrook",2002,12,3,"2002_184","7","3"
"1012","St Marys","Memorial",2002,12,3,"2002_1012","7","3"
"476","Dayton","Dunbar",2002,12,3,"2002_476","7","3"
"1744","Cincinnati","Wyoming",2002,12,3,"2002_1744","7","3"
"660","St Paris","Graham",2002,12,3,"2002_660","8","2"
"1108","New Richmond","New Richmond",2002,12,3,"2002_1108","9","1"
"752","Cincinnati","Indian Hill",2002,12,3,"2002_752","6","4"
"188","Bellefontaine","Bellefontaine",2002,12,3,"2002_188","6","4"
"1626","Washington Court House","Washington",2002,12,3,"2002_1626","6","4"
"658","Goshen","Goshen",2002,12,3,"2002_658","4","5"
"892","London","London",2002,12,3,"2002_892","4","6"
"1412","Lima","Shawnee",2002,12,3,"2002_1412","4","6"
"1596","Van Wert","Van Wert",2002,12,3,"2002_1596","4","6"
"608","Franklin","Franklin",2002,12,3,"2002_608","4","6"
"510","Eaton","Eaton",2002,12,3,"2002_510","4","6"
"1022","Washington Court House","Miami Trace",2002,12,3,"2002_1022","3","7"
