OHSAA.ID,HyTek,Div.2017,Reg.2017,Conf.2017,ConfSub.2017,County,lon,lat,Enrollment,Mascot,Public,OHSAA.Dist,City,OHSAA.Tourn,OHSAA.Full,AJ.Name,Color1,Color2,Color3,Helm.Left,Helm.Right,Best.Name,Fan50_ID,GenArea,StadID,Surface,Capacity,Stadium,usHOUSE,ohHOUSE,ohSENATE,MaxPreps,Div.2018,Reg.2018,Conf.2018,ConfSub.2018,Yappi,oh_helm,maxpreps_ugly,OHSAA.Address
100,ADA,6,22,NWC,NWC,hardin,-83.8333812,40.7746122,120,Bulldogs,Public,Northwest,Ada,ADA,ADA,Ada,PURPLE,GOLD,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Ada-2013_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Ada-2013_R.png",Ada,team625,northwestern,2087,Grass,"2,283",Ada War Memorial Park,US House 5,OH House 83,OH Senate 1,"ada-bulldogs-(ada,oh)",6,22,NWC,NWC,ada_ada,ada,e9e20e72-67f7-4039-aa5a-972e449bda95,"725 West North St., ADA, OH 45810-1016"
102,FAD,6,23,SVC,SVC,ross,-83.1946156,39.4156613,152,Warriors,Public,Southeast,Frankfort,FRANKFORT ADENA,ADENA,Frankfort Adena,NAVY,COLUMBIA BLUE,NA,"http://mediaprocessor.websimages.com/width/182/crop/0,0,182x138/ohiohshelmets.webs.com/Adena-2016_L.png","http://mediaprocessor.websimages.com/width/181/crop/0,0,181x138/ohiohshelmets.webs.com/Adena-2016_R.png",Adena,team547,southeastern,2219,Grass,"1,654",Adena Football Field,US House 15,OH House 92,OH Senate 17,"adena-warriors-(frankfort,oh)",6,23,SVC,SVC,adena_frankfort,adena,6d1b1f51-655c-46df-8a72-af8ddfd99749,"3367 COUNTY ROAD 550, FRANKFORT, OH 45628"
104,LAK,NA,NA,UNKWN,UNKWN,lorain,NA,NA,NA,NA,NA,NE Lakes,Lorain,NA,NA,Lorain Admiral King,NA,NA,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_AdmiralKing-2009_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_AdmiralKing-2009_R.png",Admiral King,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKWN,UNKWN,admiral_king_lorain,NA,f1203dbf-f47a-4aac-9723-1733c840abc3,NA
105,CAFS,6,23,COL CITY,COL CITY - SOUTH,franklin,-82.9160344,39.9793414,122,Nubians,Public,Central,Columbus,COLS. AFRICENTRIC,AFRICENTRIC EARLY COLLEGE,Columbus Africentric Early College,PURPLE,BLACK,NA,"http://mediaprocessor.websimages.com/width/181/crop/0,0,181x137/ohiohshelmets.webs.com/Africentric-2016_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Africentric-2016_R.png",Cols. Africentric,team690,central,NA,NA,NA,NA,US House 3,OH House 25,OH Senate 15,"africentric-early-college-nubians-(columbus,oh)",6,23,COL CITY,COL CITY - SOUTH,africentric_early_college_columbus,africentric,320a24de-d603-4dbe-a0a8-538424d496c7,"3223 Allegheny Ave, COLUMBUS, OH 43209"
106,CIA,4,16,SOPL,SOPL - NAT,hamilton,-84.5507779,39.1922148,205,Falcons,Public,Southwest,Cincinnati,CIN. AIKEN,AIKEN,Cincinnati Aiken,PURPLE,WHITE,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Aiken-2017_L.png","http://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Aiken-2017_R.png",Cin. Aiken,team208,southwestern,NA,NA,NA,NA,US House 1,OH House 32,OH Senate 9,"aiken-falcons-(cincinnati,oh)",4,16,CMAC,CMAC,aiken_cincinnati,aiken,d0feab89-4345-464e-aebf-53634feaed5e,"5641 Belmont Avenue, CINCINNATI, OH 45224"
108,AAL,5,19,TRI VAL,TRI VAL - OHIO,athens,-82.2031908,39.2251292,204,Spartans,Public,Southeast,Albany,ALBANY ALEXANDER,ALEXANDER,Albany Alexander,RED,BLACK,WHITE,"http://mediaprocessor.websimages.com/width/181/crop/0,0,181x137/ohiohshelmets.webs.com/Alexander-2017_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Alexander-2017_R.png",Albany Alexander,team414,southeastern,1912,Grass,"1,406",Alexander Spartans Stadium,US House 15,OH House 94,OH Senate 30,"alexander-spartans-(albany,oh)",5,19,TRI VAL,TRI VAL - OHIO,alexander_albany,alexander,321951e0-8168-449c-9bee-da676fe760c5,"6125 School Rd, Albany, OH 45710-9492"
110,LAE,6,24,NWC,NWC,allen,-83.931273,40.733796,122,Mustangs,Public,Northwest,Harrod,HARROD ALLEN EAST,ALLEN EAST,Harrod Allen East,ROYAL BLUE,WHITE,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/AllenEast-2013__L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/AllenEast-2013__R.png",Allen East,team641,northwestern,1892,Artificial Turf,"1,982",Goodwin Field,US House 4,OH House 4,OH Senate 12,"allen-east-mustangs-(harrod,oh)",6,22,NWC,NWC,allen_east_harrod,allen-east,895bd32f-e485-492b-9b56-419bf641be1b,"9105 Harding Hwy., Harrod, OH 45850"
112,ALL,3,9,NBC,NBC,stark,-81.1115052,40.9111438,333,Aviators,Public,NE Inland,Alliance,ALLIANCE,ALLIANCE,Alliance,RED,COLUMBIA BLUE,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Alliance-2017_L.png","http://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Alliance-2017_R.png",Alliance,team176,northeastern,1508,Artificial Turf,"5,611",Mount Union Stadium,US House 13,OH House 50,OH Senate 29,"alliance-aviators-(alliance,oh)",3,9,EBC,EBC,alliance_alliance,alliance,a13327b2-ae10-4c10-9c7d-0f08c2c6febe,"400 GLAMORGAN ST, ALLIANCE, OH 44601-2810"
114,ACL,4,15,MID ST,MID ST - BUCK,fairfield,-82.7383423,39.6490756,206,Aces,Public,Central,Amanda,AMANDA-CLEARCREEK,AMANDA-CLEARCREEK,Amanda-Clearcreek,BLACK,ORANGE,WHITE,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Amanda-Cleercreak-2017_L.png","http://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Amanda-Cleercreak-2017_R.png",Amanda-Clearcreek,team415,central,2034,Grass,"2,035","""The Pit""",US House 15,OH House 78,OH Senate 20,"amanda-clearcreek-aces-(amanda,oh)",5,19,MID ST,MID ST - BUCK,amanda-clearcreek_amanda,amanda-clearcreek,ca750a90-d591-41db-bb1f-39fe8d06514b,"328 E. MAIN STREET, AMANDA, OH 43102-9773"
116,BAM,NA,NA,UNKWN,UNKWN,clermont,-84.22981,39.0610523,480,Barons,Public,Southwest,Batavia,BATAVIA AMELIA,AMELIA,Batavia Amelia,ROYAL BLUE,WHITE,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Amelia-2016_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Amelia-2016_R.png",Amelia,NA,southwestern,NA,NA,NA,NA,US House 2,OH House 66,OH Senate 14,NA,NA,NA,UNKWN,UNKWN,amelia_batavia,amelia,1b3a5ab0-209a-4bc5-967e-9ca4cdffc25a,"1351 CLOUGH PIKE, BATAVIA, OH 45103-2503"
