OHSAA.ID,DoE_IRN,School District,Status,Total,Male%,HS_Students,OHSAA_Est,nonWhite%,EconDis%, Cost ,Direction,FootballTwitter,Census_GeoID,Median Inc,Total POP,Urban,Suburban,Rural
100,67,Ada Exempted Village,Open,846,53.30%,258,107,6.70%,34.50%,,64 miles south of downtown Toledo,,3904518," $41,158 ",2711,0.0%,70.3%,29.7%
102,208,Adena Local,Open,1220,51.80%,310,133,6.10%,44.30%,,41 miles south of downtown Columbus,,3904949," $44,964 ",2835,0.0%,0.0%,100.0%
104,NA,Lorain City,Merged 2010,6537,53.10%,2167,917,76.80%,100.00%,,NA,,3904426," $33,485 ",25095,100.0%,0.0%,0.0%
105,142034,Columbus City School District,Open,50304,51.40%,13226,5604,77.00%,100.00%,,5 miles east of downtown Columbus,,3904380," $40,516 ",248000,99.9%,0.0%,0.1%
106,147538,Cincinnati City,Open,34101,50.80%,8998,3665,75.80%,74.40%,,8 miles northwest of downtown Cincinnati,,3904375," $35,884 ",177195,100.0%,0.0%,0.0%
108,315,Alexander Local,Open,1506,53.20%,421,173,2.70%,41.80%,,67 miles southeast of downtown Columbus,@SpartanEndzone,3904590," $42,924 ",4770,0.0%,4.1%,95.9%
110,364,Allen East Local,Open,1092,49.20%,319,129,3.90%,29.20%,,68 miles southwest of downtown Toledo,,3904575," $54,882 ",2354,0.0%,0.0%,100.0%
112,463,Alliance City,Open,3046,52.80%,935,360,29.80%,100.00%,,17 miles northeast of downtown Canton,,3904349," $33,961 ",9753,0.0%,96.3%,3.7%
114,562,Amanda-Clearcreek Local,Open,1459,50.80%,444,178,3.20%,39.10%,,27 miles southeast of downtown Columbus,,3904684," $53,647 ",3212,0.0%,0.0%,100.0%
116,NA,West Clermont Local,Merged 2016,8206,51.70%,2405,958,10.60%,28.60%,,16 miles east of downtown Cincinnati,,3904635," $56,855 ",29485,98.4%,0.0%,1.6%
118,687,Forest Hills Local,Open,7448,51.20%,2402,911,11.70%,7.20%,,10 miles east of downtown Cincinnati,@_AHS_Football,3904734," $90,910 ",17926,98.8%,0.0%,1.2%
120,752,Anna Local,Open,1166,51.40%,384,149,3.30%,11.20%,,46 miles north of downtown Dayton,@AnnaHSFootball,3910004," $74,838 ",2005,0.0%,0.0%,100.0%
122,778,Ansonia Local,Open,771,54.20%,193,79,2.60%,27.90%,,40 miles northwest of downtown Dayton,,3904662," $49,375 ",1401,0.0%,0.0%,100.0%
124,810,Anthony Wayne Local,Open,4208,50.20%,1346,513,5.90%,9.90%,,16 miles southwest of downtown Toledo,@AWHSFootball,3904820," $79,443 ",10791,72.8%,0.0%,27.2%
126,844,Antwerp Local,Open,721,49.40%,183,71,8.50%,28.30%,,71 miles west of downtown Toledo,,3904899," $55,673 ",1718,0.0%,0.0%,100.0%
128,893,Arcadia Local,Open,592,47.50%,199,73,12.80%,36.80%,,39 miles south of downtown Toledo,,3910002," $46,402 ",1328,0.0%,23.8%,76.2%
130,919,Arcanum-Butler Local,Open,1132,52.00%,311,127,4.20%,21.80%,,26 miles northwest of downtown Dayton,@ArcanumFootball,3904663," $52,434 ",2485,0.0%,0.0%,100.0%
132,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$10,400 ",7 miles southeast of downtown Dayton,@AlterHSFootball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
134,935,Archbold-Area Local,Open,1210,51.70%,359,143,22.20%,24.70%,,43 miles west of downtown Toledo,,3904704," $60,512 ",2985,0.0%,62.7%,37.3%
136,992,Arlington Local,Open,569,52.20%,198,79,4.70%,19.20%,,54 miles south of downtown Toledo,,3904742," $57,617 ",1394,0.0%,0.0%,100.0%
138,1081,Ashland City,Open,3250,51.40%,944,381,8.10%,27.00%,,46 miles west of downtown Akron,,3904350," $44,122 ",11267,0.0%,78.5%,21.5%
140,1123,Ashtabula Area City,Open,3438,51.50%,954,403,36.20%,100.00%,,52 miles east of downtown Cleveland,,3904351," $33,932 ",13760,0.0%,84.7%,15.3%
144,1149,Athens City,Open,2600,50.20%,763,291,15.20%,34.60%,,62 miles southeast of downtown Columbus,,3904352," $28,343 ",12685,0.0%,73.9%,26.1%
146,1297,Aurora City,Open,2961,51.80%,988,380,14.40%,7.10%,,20 miles northeast of downtown Akron,@GreenmenFB,3904917," $84,327 ",6539,88.2%,0.0%,11.8%
148,11791,Austintown Local Schools,Open,4624,50.20%,1425,542,24.30%,47.80%,,6 miles west of downtown Youngstown,@Fitch_Football,3904829," $45,275 ",16933,97.2%,0.0%,2.8%
150,1370,Avon Local,Open,4303,51.00%,1298,505,17.10%,11.60%,,20 miles west of downtown Cleveland,,3904811," $90,846 ",8007,100.0%,0.0%,0.0%
