"","School","Address","City","Zip","AddressFull","Public","County","Dist","Name","Color1","Color2","Color3","Enrollment","Conf","Mascot","Enr_Class","lon","lat"
"100","ADA","725 West North St.","ADA","45810-1016","725 West North St., ADA, OH 45810-1016","PUBLIC","Hardin","Northwest","ADA","PURPLE","GOLD",NA,120,"","BULLDOGS","(AA)",-83.8333812,40.7746122
"1000","MEADOWBROOK","58615 MARIETTA RD","BYESVILLE","43723-9801","58615 MARIETTA RD, BYESVILLE, OH 43723-9801","PUBLIC","Guernsey","East","BYESVILLE MEADOWBROOK","BROWN","ORANGE","WHITE",210,"East Central Ohio League","COLTS","(AA)",-81.5574486,39.9505923
"1002","MEADOWDALE","3873 Whitestone Ct","DAYTON","45416-2128","3873 Whitestone Ct, DAYTON, OH 45416-2128","PUBLIC","Montgomery","Southwest","DAY. MEADOWDALE","BLACK","GOLD",NA,210,"","LIONS","(AA)",-84.2514215,39.8135866
"1004","MECHANICSBURG","60 HIGH STREET","MECHANICSBURG","43044-1003","60 HIGH STREET, MECHANICSBURG, OH 43044-1003","PUBLIC","Champaign","Southwest","MECHANICSBURG","PURPLE","GOLD",NA,110,"Ohio Heritage Conference","INDIANS","(A)",-83.5589433,40.0784326
"1006","MEDINA","777 E UNION ST","MEDINA","44256-1970","777 E UNION ST, MEDINA, OH 44256-1970","PUBLIC","Medina","Northeast","MEDINA","GREEN","WHITE",NA,897,"Greater Cleveland Conference","BATTLING BEES","(AAA)",-81.851278,41.144693
"1008","MEIGS","42091 POMEROY PIKE","POMEROY","45769-9411","42091 POMEROY PIKE, POMEROY, OH 45769-9411","PUBLIC","Meigs","Southeast","POMEROY MEIGS","MAROON","GOLD",NA,204,"Tri-Valley Conference","MARAUDERS","(AAA)",-82.0095687,39.0550833
"1010","MEMORIAL","280 6TH ST","CAMPBELL","44405-1325","280 6TH ST, CAMPBELL, OH 44405-1325","PUBLIC","Mahoning","Northeast","CAMPBELL MEMORIAL","RED","BLACK",NA,150,"","RED DEVILS","(A)",-80.5995589,41.0814425
"1012","ST MARYS MEMORIAL","2250 State Route 66 North","ST MARYS","45885-2523","2250 State Route 66 North, ST MARYS, OH 45885-2523","PUBLIC","Auglaize","Northwest","ST. MARYS MEMORIAL","BLUE","GOLD",NA,252,"Western Buckeye League","ROUGHRIDERS","(AAA)",-84.3742639,40.5583398
"1016","MENTOR","6477 CENTER ST","MENTOR","44060-4109","6477 CENTER ST, MENTOR, OH 44060-4109","PUBLIC","Lake","Northeast","MENTOR","SCARLET","GRAY",NA,963,"Greater Cleveland Conference","CARDINALS","(AAA)",-81.3374519,41.6960519
"1018","MIAMI EAST","3925 N STATE ROUTE 589","CASSTOWN","45312-9707","3925 N STATE ROUTE 589, CASSTOWN, OH 45312-9707","PUBLIC","Miami","Southwest","CASSTOWN MIAMI EAST","BLUE","WHITE",NA,175,"Cross County Conference","VIKINGS","(AA)",-84.1147979,40.085445
"102","ADENA","3367 COUNTY ROAD 550","FRANKFORT","45628","3367 COUNTY ROAD 550, FRANKFORT, OH 45628","PUBLIC","Ross","Southeast","FRANKFORT ADENA","NAVY","COLUMBIA BLUE",NA,152,"","WARRIORS","(AA)",-83.1946156,39.4156613
"1020","MIAMISBURG","1860 Belvo","Miamisburg","45342","1860 Belvo, Miamisburg, OH 45342","PUBLIC","Montgomery","Southwest","MIAMISBURG","ROYAL BLUE","WHITE",NA,627,"Northern 10 Conference","Vikings","(AAA)",-84.2576057,39.6279586
"1022","MIAMI TRACE","3722 STATE ROUTE 41 NW","WASHINGTON CH","43160-9408","3722 STATE ROUTE 41 NW, WASHINGTON CH, OH 43160-9408","PUBLIC","Fayette","Southeast","WASHINGTON C.H. MIAMI TRACE","BLACK","WHITE","GOLD",268,"","PANTHERS","(AAA)",-83.5128917,39.5952105
