Fav,Reg,Dog,FavID,FavID2,Fav_elo,DogID,DogID2,Dog_elo,Season,Week
1,1,8,1016,Mentor,NA,1312,Riverside,NA,2007,11
4,1,5,1428,Solon,NA,1154,North Royalton,NA,2007,11
2,1,7,1354,St Ignatius,NA,652,Glenville,NA,2007,11
3,1,6,540,Euclid,NA,238,Boardman,NA,2007,11
1,2,8,268,Brunswick,NA,650,GlenOak,NA,2007,11
4,2,5,1704,Whitmer,NA,1606,Wadsworth,NA,2007,11
2,2,7,730,Hoover,NA,1360,St John's Jesuit,NA,2007,11
3,2,6,1116,Nordonia,NA,1248,Perrysburg,NA,2007,11
1,3,8,717,Hilliard Darby,NA,1572,Upper Arlington,NA,2007,11
4,3,5,258,Brookhaven,NA,682,Groveport-Madison,NA,2007,11
2,3,7,1254,Pickerington Central,NA,838,Lancaster,NA,2007,11
3,3,6,474,Dublin Coffman,NA,876,Gahanna-Lincoln,NA,2007,11
1,4,8,1388,St Xavier,NA,522,Elder,NA,2007,11
4,4,5,336,Centerville,NA,1274,Princeton,NA,2007,11
2,4,7,396,Colerain,NA,1142,Northmont,NA,2007,11
3,4,6,1508,Sycamore,NA,1056,Archbishop Moeller,NA,2007,11
1,5,8,736,Howland,NA,922,Madison,NA,2007,11
4,5,5,1224,Padua Franciscan,NA,980,Mayfield,NA,2007,11
2,5,7,1522,Tallmadge,NA,592,Firestone,NA,2007,11
3,5,6,1118,Normandy,NA,1434,South,NA,2007,11
1,6,8,152,Avon Lake,NA,1030,Midview,NA,2007,11
4,6,5,138,Ashland,NA,1203,Olentangy Liberty,NA,2007,11
2,6,7,1512,Sylvania Southview,NA,856,Lexington,NA,2007,11
3,6,6,342,Central Catholic,NA,1258,Piqua,NA,2007,11
1,7,8,1348,Columbus St Francis DeSales,NA,1750,Zanesville,NA,2007,11
4,7,5,304,Canfield,NA,962,Marion-Franklin,NA,2007,11
2,7,7,902,Louisville,NA,822,Lake,NA,2007,11
3,7,6,888,Logan,NA,1544,Tri-Valley,NA,2007,11
1,8,8,1554,Turpin,NA,1719,Winton Woods,NA,2007,11
4,8,5,516,Edgewood,NA,1550,Trotwood-Madison,NA,2007,11
2,8,7,118,Anderson,NA,810,Kings,NA,2007,11
3,8,6,1720,Withrow,NA,320,Carroll,NA,2007,11
1,9,8,1614,Walsh Jesuit,NA,584,Field,NA,2007,11
4,9,5,146,Aurora,NA,828,Lakeview,NA,2007,11
2,9,7,1320,Rocky River,NA,738,Hubbard,NA,2007,11
3,9,6,824,Lake Catholic,NA,1281,Ravenna,NA,2007,11
1,10,8,214,Big Walnut,NA,1332,Rossford,NA,2007,11
4,10,5,188,Bellefontaine,NA,1416,Shelby,NA,2007,11
2,10,7,1080,Napoleon,NA,1578,Urbana,NA,2007,11
3,10,6,1534,Tippecanoe,NA,392,Clyde,NA,2007,11
1,11,8,1162,Northwest,NA,1264,Poland Seminary,NA,2007,11
4,11,5,472,Dover,NA,1432,Canton South,NA,2007,11
2,11,7,870,Licking Valley,NA,666,Granville,NA,2007,11
3,11,6,1658,West Branch,NA,788,John Glenn,NA,2007,11
1,12,8,752,Indian Hill,NA,510,Eaton,NA,2007,11
4,12,5,1626,Washington,NA,370,Circleville,NA,2007,11
2,12,7,302,Canal Winchester,NA,1590,Valley View,NA,2007,11
3,12,6,658,Goshen,NA,1062,Lemon-Monroe,NA,2007,11
1,13,8,310,Cardinal Mooney,NA,426,Coshocton,NA,2007,11
4,13,5,1384,St Vincent-St Mary,NA,1246,Perry,NA,2007,11
2,13,7,1488,Steubenville,NA,448,Cuyahoga Valley Christian Academy,NA,2007,11
3,13,6,340,Canton Central Catholic,NA,1558,Tuscarawas Valley,NA,2007,11
1,14,8,508,Eastwood,NA,534,Elyria Catholic,NA,2007,11
4,14,5,712,Highland,NA,636,Genoa Area,NA,2007,11
2,14,7,606,Fostoria,NA,1214,Ottawa-Glandorf,NA,2007,11
3,14,6,1260,Pleasant,NA,1184,Oak Harbor,NA,2007,11
1,15,8,1344,St Clairsville,NA,1318,Rock Hill,NA,2007,11
4,15,5,868,Licking Heights,NA,1268,Portsmouth,NA,2007,11
2,15,7,1676,Westfall,NA,1100,New Lexington,NA,2007,11
3,15,6,1636,Waverly,NA,1566,Union Local,NA,2007,11
1,16,8,132,Archbishop Alter,NA,1190,Oakwood,NA,2007,11
4,16,5,796,Jonathan Alder,NA,394,Coldwater,NA,2007,11
2,16,7,1042,Milton-Union,NA,264,Brookville,NA,2007,11
3,16,6,388,Clinton-Massie,NA,1744,Wyoming,NA,2007,11
1,17,8,1460,South Range,NA,812,Kirtland,NA,2007,11
4,17,5,642,Gilmour Academy,NA,974,Mathews,NA,2007,11
2,17,7,1580,Ursuline,NA,356,St Peter Chanel,NA,2007,11
3,17,6,1640,Waynedale,NA,1170,Northwestern,NA,2007,11
1,18,8,1234,Patrick Henry,NA,864,Liberty Center,NA,2007,11
4,18,5,874,Lima Central Catholic,NA,1742,Wynford,NA,2007,11
2,18,7,862,Liberty-Benton,NA,134,Archbold,NA,2007,11
3,18,6,572,Fairview,NA,1532,Tinora,NA,2007,11
1,19,8,220,Bishop Ready,NA,194,Belpre,NA,2007,11
4,19,5,794,Johnstown-Monroe,NA,1048,Minford,NA,2007,11
2,19,7,284,Buckeye Trail,NA,614,Fredericktown,NA,2007,11
3,19,6,1696,Wheelersburg,NA,1300,Ridgewood,NA,2007,11
1,20,8,1682,West Jefferson,NA,544,Fairbanks,NA,2007,11
4,20,5,1688,West Liberty-Salem,NA,1644,Waynesville,NA,2007,11
2,20,7,958,Marion Local,NA,1018,Miami East,NA,2007,11
3,20,6,462,Deer Park,NA,369,Cincinnati Hills Christian Academy,NA,2007,11
1,21,8,732,Hopewell-Loudon,NA,850,Leetonia,NA,2007,11
4,21,5,1058,Mogadore,NA,408,Columbiana,NA,2007,11
2,21,7,1374,St Paul,NA,1064,Monroeville,NA,2007,11
3,21,6,786,John F Kennedy,NA,992,McDonald,NA,2007,11
1,22,8,990,McComb,NA,343,Toledo Christian,NA,2007,11
4,22,5,136,Arlington,NA,722,Hilltop,NA,2007,11
2,22,7,316,Carey,NA,154,Ayersville,NA,2007,11
3,22,6,100,Ada,NA,126,Antwerp,NA,2007,11
1,23,8,1090,Newark Catholic,NA,204,Berne Union,NA,2007,11
4,23,5,454,Danville,NA,934,Malvern,NA,2007,11
2,23,7,1406,Shadyside,NA,326,Catholic Central,NA,2007,11
3,23,6,1306,River,NA,172,Beallsville,NA,2007,11
1,24,8,430,Covington,NA,1178,Notre Dame,NA,2007,11
4,24,5,886,Lockland,NA,852,Lehman Catholic,NA,2007,11
2,24,7,324,Catholic Central,NA,1642,Waynesfield-Goshen,NA,2007,11
3,24,6,484,Sciotoville Community School,NA,1004,Mechanicsburg,NA,2007,11
1,1,8,1354,St Ignatius,NA,1346,St Edward,NA,2008,11
4,1,5,652,Glenville,NA,248,Brecksville-Broadview Heights,NA,2008,11
2,1,7,1498,Strongsville,NA,540,Euclid,NA,2008,11
3,1,6,1016,Mentor,NA,1440,South,NA,2008,11
1,2,8,730,Hoover,NA,1624,Massillon Washington,NA,2008,11
4,2,5,350,Twinsburg,NA,1486,Steele,NA,2008,11
2,2,7,650,GlenOak,NA,306,Canton McKinley,NA,2008,11
3,2,6,268,Brunswick,NA,1116,Nordonia,NA,2008,11
1,3,8,716,Hilliard Davidson,NA,680,Grove City,NA,2008,11
4,3,5,258,Brookhaven,NA,1741,Worthington Kilbourne,NA,2008,11
2,3,7,1572,Upper Arlington,NA,970,Marysville,NA,2008,11
3,3,6,1254,Pickerington Central,NA,704,Delaware Hayes,NA,2008,11
1,4,8,396,Colerain,NA,1056,Archbishop Moeller,NA,2008,11
4,4,5,1638,Wayne,NA,1732,Woodward,NA,2008,11
2,4,7,1142,Northmont,NA,807,Kettering Fairmont,NA,2008,11
3,4,6,522,Elder,NA,336,Centerville,NA,2008,11
1,5,8,980,Mayfield,NA,1326,Roosevelt,NA,2008,11
4,5,5,736,Howland,NA,724,Archbishop Hoban,NA,2008,11
2,5,7,1410,Shaw,NA,922,Madison,NA,2008,11
3,5,6,1224,Padua Franciscan,NA,1522,Tallmadge,NA,2008,11
1,6,8,342,Central Catholic,NA,1203,Olentangy Liberty,NA,2008,11
4,6,5,710,Highland,NA,152,Avon Lake,NA,2008,11
2,6,7,1512,Sylvania Southview,NA,1202,Olentangy,NA,2008,11
3,6,6,856,Lexington,NA,390,Cloverleaf,NA,2008,11
1,7,8,1348,Columbus St Francis DeSales,NA,224,Bishop Watterson,NA,2008,11
4,7,5,962,Marion-Franklin,NA,186,Beechcroft,NA,2008,11
2,7,7,902,Louisville,NA,748,Independence,NA,2008,11
3,7,6,888,Logan,NA,486,Dublin Jerome,NA,2008,11
1,8,8,1719,Winton Woods,NA,476,Dunbar,NA,2008,11
4,8,5,1554,Turpin,NA,810,Kings,NA,2008,11
2,8,7,1528,Tecumseh,NA,1664,Western Brown,NA,2008,11
3,8,6,118,Anderson,NA,516,Edgewood,NA,2008,11
1,9,8,1614,Walsh Jesuit,NA,584,Field,NA,2008,11
4,9,5,860,Liberty,NA,346,Chagrin Falls,NA,2008,11
2,9,7,146,Aurora,NA,1180,Notre Dame-Cathedral Latin,NA,2008,11
3,9,6,738,Hubbard,NA,1281,Ravenna,NA,2008,11
1,10,8,150,Avon,NA,464,Defiance,NA,2008,11
