OHSAA.ID,2018_Full,2017_Full,2016_Full,2015_Full,2014_Full,2013_Full,2012_Full,2011_Full,2010_Full,2009_Full,2008_Full,2007_Full,2018_Main,2017_Main,2016_Main,2015_Main,2014_Main,2013_Main,2012_Main,2011_Main,2010_Main,2009_Main,2008_Main,2007_Main
274,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY
478,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY
528,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY
592,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY
801,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY
1120,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY,AKR CITY
256,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,IND,IND,IND,IND,IND,IND,TRUMBULL,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,IND,IND,IND,IND,IND,IND,TRUMBULL
354,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,TRUMBULL,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,TRUMBULL
644,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,TRUMBULL,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,TRUMBULL
818,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,TRUMBULL,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,TRUMBULL
860,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - WHITE,ALL AMER - WHITE,ALL AMER - WHITE,TRUMBULL,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,TRUMBULL
1010,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,MET ATH,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,MET ATH
1112,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - NAT,ALL AMER - BLUE,ALL AMER - BLUE,ALL AMER - BLUE,TRUMBULL,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,TRUMBULL
140,ALL AMER - GOLD,ALL AMER - GOLD,ALL AMER - GOLD,ALL AMER - GOLD,PREMIER,PREMIER,PREMIER,PREMIER,PREMIER,PREMIER,PREMIER,PREMIER,ALL AMER,ALL AMER,ALL AMER,ALL AMER,PREMIER,PREMIER,PREMIER,PREMIER,PREMIER,PREMIER,PREMIER,PREMIER
148,ALL AMER - GOLD,ALL AMER - GOLD,ALL AMER - GOLD,ALL AMER - GOLD,IND,IND,IND,FEDERAL,FEDERAL,FEDERAL,FEDERAL,FEDERAL,ALL AMER,ALL AMER,ALL AMER,ALL AMER,IND,IND,IND,FEDERAL,FEDERAL,FEDERAL,FEDERAL,FEDERAL
