"","Season","Week",""
"148",2017,1,0.24
"200",2017,1,0.02
"306",2017,1,0.28
"385",2017,1,0.39
"540",2017,1,0.18
"650",2017,1,0.14
"764",2017,1,0.12
"792",2017,1,0.01
"1016",2017,1,0.44
"1244",2017,1,0.41
"1292",2017,1,0.01
"1346",2017,1,0.47
"1354",2017,1,0.53
"1408",2017,1,0.01
"1428",2017,1,0.27
"1492",2017,1,0.3
"1498",2017,1,0.02
"268",2017,1,0.02
"474",2017,1,0.38
"486",2017,1,0.32
"532",2017,1,0.02
"586",2017,1,0.04
"704",2017,1,0.01
"876",2017,1,0.04
"894",2017,1,0.36
"970",2017,1,0.03
"1006",2017,1,0.12
"1088",2017,1,0.14
"1202",2017,1,0.14
"1203",2017,1,0.59
"1211",2017,1,0.16
"1482",2017,1,0.5
"1572",2017,1,0.22
"1671",2017,1,0.18
"1704",2017,1,0.35
"1738",2017,1,0.01
"178",2017,1,0.01
"336",2017,1,0.07
"345",2017,1,0.01
"680",2017,1,0
"682",2017,1,0.16
"713",2017,1,0.24
"716",2017,1,0.5
"717",2017,1,0.27
"807",2017,1,0.01
"838",2017,1,0.01
"1020",2017,1,0.42
"1142",2017,1,0.28
"1254",2017,1,0.61
"1255",2017,1,0.33
"1290",2017,1,0.03
"1480",2017,1,0.06
"1638",2017,1,0.87
"1686",2017,1,0
"396",2017,1,0.66
"522",2017,1,0.04
"550",2017,1,0.18
"685",2017,1,0.01
"836",2017,1,0.02
"837",2017,1,0.05
"846",2017,1,0.2
"972",2017,1,0.09
"1026",2017,1,0
"1034",2017,1,0.01
"1056",2017,1,0.19
"1188",2017,1,0.01
"1274",2017,1,0.02
"1388",2017,1,0.45
"1470",2017,1,0.26
"1508",2017,1,0.1
"1610",2017,1,0.03
"1666",2017,1,0.03
"1677",2017,1,0
"140",2017,1,0.01
"160",2017,1,0.21
"180",2017,1,0.12
"196",2017,1,0.08
"248",2017,1,0.13
"270",2017,1,0.1
"350",2017,1,0.08
"422",2017,1,0.14
"444",2017,1,0
"528",2017,1,0.29
"592",2017,1,0.12
"632",2017,1,0.26
"670",2017,1,0.02
"692",2017,1,0.72
"724",2017,1,0.61
"740",2017,1,0.36
"782",2017,1,0
"790",2017,1,0.05
"801",2017,1,0.07
"824",2017,1,0.02
"922",2017,1,0.12
"980",2017,1,0.2
"1116",2017,1,0.07
"1122",2017,1,0.04
"1312",2017,1,0.06
"1326",2017,1,0.01
"1440",2017,1,0.17
"1614",2017,1,0.02
"124",2017,1,0.33
"150",2017,1,0.61
"152",2017,1,0.06
"244",2017,1,0.19
"372",2017,1,0.01
"406",2017,1,0.04
"616",2017,1,0.01
"710",2017,1,0.14
"832",2017,1,0
"1030",2017,1,0.09
"1118",2017,1,0
"1146",2017,1,0.01
"1152",2017,1,0.05
"1154",2017,1,0.01
"1204",2017,1,0.14
"1232",2017,1,0.11
"1248",2017,1,0.15
"1350",2017,1,0
"1360",2017,1,0.06
"1476",2017,1,0.42
"1486",2017,1,0.03
"1510",2017,1,0.02
"1512",2017,1,0
"1588",2017,1,0.02
"1606",2017,1,0.15
"1608",2017,1,0.2
"1684",2017,1,0.05
"138",2017,1,0.27
"214",2017,1,0.07
"238",2017,1,0.11
"252",2017,1,0.01
"302",2017,1,0.03
"475",2017,1,0.1
"483",2017,1,0.06
"610",2017,1,0.29
"730",2017,1,0.04
"822",2017,1,0.14
"868",2017,1,0.55
"888",2017,1,0
"1032",2017,1,0.17
"1078",2017,1,0.04
"1086",2017,1,0.49
"1140",2017,1,0.16
"1342",2017,1,0.04
"1612",2017,1,0.16
"1624",2017,1,0.33
"1632",2017,1,0.21
"1656",2017,1,0.07
"1672",2017,1,0.01
"1674",2017,1,0.02
"1698",2017,1,0.08
"1700",2017,1,0.16
"1736",2017,1,0.47
"1741",2017,1,0.15
"118",2017,1,0.27
"192",2017,1,0.44
"320",2017,1,0.05
"364",2017,1,0.58
"516",2017,1,0.25
"548",2017,1,0.02
"690",2017,1,0.23
"696",2017,1,0.25
"810",2017,1,0.23
"842",2017,1,0.48
"872",2017,1,0.13
"884",2017,1,0.01
"904",2017,1,0.15
"1422",2017,1,0.08
"1484",2017,1,0.02
"1520",2017,1,0
"1526",2017,1,0.28
"1528",2017,1,0.02
"1552",2017,1,0.48
"1554",2017,1,0.41
"1664",2017,1,0.01
"1719",2017,1,0.69
"1720",2017,1,0.04
"1746",2017,1,0.07
"112",2017,1,0.1
"146",2017,1,0.52
"274",2017,1,0.31
"276",2017,1,0.41
"304",2017,1,0.24
"360",2017,1,0.33
"390",2017,1,0
"428",2017,1,0.02
"478",2017,1,0.29
"634",2017,1,0
"698",2017,1,0
"736",2017,1,0.46
"802",2017,1,0.04
"902",2017,1,0.48
"964",2017,1,0.16
"994",2017,1,0.11
"1120",2017,1,0
"1158",2017,1,0
"1180",2017,1,0.38
"1281",2017,1,0.04
"1288",2017,1,0.01
"1384",2017,1,0.4
"1472",2017,1,0.09
"1522",2017,1,0.04
"1658",2017,1,0.13
"1724",2017,1,0.86
"168",2017,1,0.19
"242",2017,1,0.11
"342",2017,1,0.44
"384",2017,1,0.13
"392",2017,1,0.3
"398",2017,1,0
"464",2017,1,0.01
"506",2017,1,0.01
"652",2017,1,0.94
"728",2017,1,0.36
"784",2017,1,0
"856",2017,1,0.14
"880",2017,1,0
"926",2017,1,0.03
"940",2017,1,0.16
"944",2017,1,0.15
"976",2017,1,0
"1160",2017,1,0.04
"1224",2017,1,0.03
"1240",2017,1,0.05
"1320",2017,1,0.34
"1324",2017,1,0.06
"1394",2017,1,0.33
"1398",2017,1,0.01
"1410",2017,1,0.03
"1571",2017,1,0.67
"1734",2017,1,0.12
"144",2017,1,0.26
"186",2017,1,0.74
"188",2017,1,0.24
"218",2017,1,0.67
"224",2017,1,0.06
"286",2017,1,0.21
"332",2017,1,0.02
"472",2017,1,0.55
"502",2017,1,0.24
"666",2017,1,0.23
"686",2017,1,0.35
"718",2017,1,0
"748",2017,1,0.17
"751",2017,1,0.44
"762",2017,1,0.32
"956",2017,1,0.03
"962",2017,1,0.37
"982",2017,1,0.01
"1022",2017,1,0.06
"1106",2017,1,0.46
"1348",2017,1,0.37
"1420",2017,1,0.13
"1436",2017,1,0
"1544",2017,1,0.69
"1618",2017,1,0
"1680",2017,1,0.03
"1750",2017,1,0.12
"132",2017,1,0.66
"158",2017,1,0.18
"184",2017,1,0.06
"292",2017,1,0.23
"330",2017,1,0.06
"352",2017,1,0.18
"402",2017,1,0.36
"476",2017,1,0.62
"526",2017,1,0.2
"608",2017,1,0.18
"658",2017,1,0.01
"678",2017,1,0.05
"998",2017,1,0.69
"1062",2017,1,0.01
