"","Season","Week","0","1","2","3","4","5","6"
"148",2017,1,0.76,0.22,0,0.01,0.01,0,0
"200",2017,1,0.95,0.05,0,0,0,0,0
"306",2017,1,0.24,0.35,0.27,0.06,0.05,0.03,0
"385",2017,1,0.6,0.26,0.03,0.04,0.07,0,0
"540",2017,1,0.45,0.33,0.12,0.08,0.02,0,0
"650",2017,1,0.67,0.19,0.11,0.03,0,0,0
"764",2017,1,0.51,0.35,0.11,0.01,0.02,0,0
"792",2017,1,1,0,0,0,0,0,0
"1016",2017,1,0.14,0.29,0.24,0.17,0.09,0.07,0
"1244",2017,1,0.13,0.42,0.28,0.07,0.08,0,0.02
"1292",2017,1,0.96,0.04,0,0,0,0,0
"1346",2017,1,0.13,0.33,0.21,0.11,0.07,0.1,0.05
"1354",2017,1,0.31,0.1,0.2,0.15,0.14,0.09,0.01
"1408",2017,1,0.86,0.12,0.01,0.01,0,0,0
"1428",2017,1,0.14,0.38,0.26,0.17,0.03,0.02,0
"1492",2017,1,0.26,0.48,0.15,0.08,0.01,0.01,0.01
"1498",2017,1,0.89,0.09,0.01,0.01,0,0,0
"268",2017,1,0.85,0.1,0.03,0.02,0,0,0
"474",2017,1,0.17,0.31,0.26,0.16,0.09,0.01,0
"486",2017,1,0.29,0.41,0.14,0.12,0.04,0,0
"532",2017,1,0.73,0.12,0.09,0.04,0.02,0,0
"586",2017,1,0.57,0.27,0.1,0.05,0.01,0,0
"704",2017,1,0.88,0.12,0,0,0,0,0
"876",2017,1,0.66,0.17,0.08,0.04,0.04,0.01,0
"894",2017,1,0.35,0.44,0.12,0.02,0.06,0.01,0
"970",2017,1,0.97,0.02,0,0,0.01,0,0
"1006",2017,1,0.41,0.31,0.17,0.07,0.03,0.01,0
"1088",2017,1,0.8,0.13,0.05,0.01,0.01,0,0
"1202",2017,1,0.52,0.24,0.11,0.07,0.06,0,0
"1203",2017,1,0.15,0.23,0.24,0.12,0.16,0.09,0.01
"1211",2017,1,0.51,0.25,0.12,0.06,0.05,0,0.01
"1482",2017,1,0.92,0.07,0.01,0,0,0,0
"1572",2017,1,0.61,0.2,0.11,0.02,0.05,0,0.01
"1671",2017,1,0.49,0.26,0.16,0.06,0.02,0,0.01
"1704",2017,1,0.14,0.33,0.21,0.14,0.12,0.04,0.02
"1738",2017,1,0.98,0.02,0,0,0,0,0
"178",2017,1,0.72,0.23,0.05,0,0,0,0
"336",2017,1,0.6,0.3,0.07,0.01,0.02,0,0
"345",2017,1,0.95,0.04,0.01,0,0,0,0
"680",2017,1,0.95,0.04,0,0.01,0,0,0
"682",2017,1,0.71,0.28,0,0.01,0,0,0
"713",2017,1,0.61,0.26,0.09,0.04,0,0,0
"716",2017,1,0.26,0.36,0.32,0.05,0,0.01,0
"717",2017,1,0.4,0.53,0.06,0.01,0,0,0
"807",2017,1,0.91,0.06,0.03,0,0,0,0
"838",2017,1,0.71,0.16,0.08,0.04,0,0.01,0
"1020",2017,1,0.31,0.44,0.2,0.02,0.02,0.01,0
"1142",2017,1,0.52,0.31,0.13,0.03,0,0,0.01
"1254",2017,1,0,0.09,0.32,0.35,0.05,0.09,0.1
"1255",2017,1,0.12,0.3,0.34,0.12,0.04,0.04,0.04
"1290",2017,1,0.7,0.24,0.05,0,0.01,0,0
"1480",2017,1,0.54,0.32,0.1,0.02,0.01,0,0.01
"1638",2017,1,0,0.03,0.15,0.29,0.19,0.13,0.21
"1686",2017,1,0.99,0.01,0,0,0,0,0
"396",2017,1,0.04,0.18,0.3,0.15,0.09,0.08,0.16
"522",2017,1,0.56,0.29,0.07,0.03,0.02,0,0.03
"550",2017,1,0.16,0.35,0.23,0.19,0.01,0.04,0.02
"685",2017,1,0.82,0.15,0.02,0.01,0,0,0
"836",2017,1,0.57,0.33,0.07,0.03,0,0,0
"837",2017,1,0.57,0.31,0.08,0.02,0,0.01,0.01
"846",2017,1,0.48,0.43,0.07,0.02,0,0,0
"972",2017,1,0.22,0.39,0.28,0.09,0,0.02,0
"1026",2017,1,0.96,0.04,0,0,0,0,0
"1034",2017,1,0.94,0.05,0.01,0,0,0,0
"1056",2017,1,0.19,0.34,0.19,0.17,0.03,0.01,0.07
"1188",2017,1,0.89,0.08,0.02,0,0,0.01,0
"1274",2017,1,0.7,0.2,0.08,0.02,0,0,0
"1388",2017,1,0.02,0.15,0.28,0.16,0.15,0.05,0.19
"1470",2017,1,0.66,0.27,0.06,0.01,0,0,0
"1508",2017,1,0.29,0.39,0.22,0.1,0,0,0
"1610",2017,1,0.95,0.03,0.02,0,0,0,0
"1666",2017,1,0.99,0.01,0,0,0,0,0
"1677",2017,1,0.99,0.01,0,0,0,0,0
"140",2017,1,0.98,0,0.02,0,0,0,0
"160",2017,1,0.46,0.23,0.16,0.1,0.03,0,0.02
"180",2017,1,0.71,0.18,0.06,0.04,0.01,0,0
"196",2017,1,0.62,0.16,0.11,0.08,0.02,0.01,0
"248",2017,1,0.51,0.31,0.12,0.06,0,0,0
"270",2017,1,0.64,0.25,0.09,0.01,0.01,0,0
"350",2017,1,0.74,0.12,0.1,0,0,0.03,0.01
"422",2017,1,0.51,0.25,0.15,0.08,0,0.01,0
"444",2017,1,1,0,0,0,0,0,0
"528",2017,1,0.67,0.24,0.08,0.01,0,0,0
"592",2017,1,0.92,0.05,0.03,0,0,0,0
"632",2017,1,0.8,0.15,0.04,0.01,0,0,0
"670",2017,1,0.82,0.09,0.06,0.01,0.01,0.01,0
"692",2017,1,0.4,0.27,0.2,0.07,0.02,0.02,0.02
"724",2017,1,0.04,0.05,0.15,0.12,0.2,0.2,0.24
"740",2017,1,0.29,0.32,0.17,0.18,0.01,0.01,0.02
"782",2017,1,1,0,0,0,0,0,0
"790",2017,1,0.83,0.16,0.01,0,0,0,0
"801",2017,1,0.89,0.1,0.01,0,0,0,0
"824",2017,1,0.78,0.1,0.05,0.04,0,0.02,0.01
"922",2017,1,0.78,0.13,0.06,0.03,0,0,0
"980",2017,1,0.63,0.22,0.07,0.05,0.01,0.02,0
"1116",2017,1,0.77,0.13,0.05,0.04,0.01,0,0
"1122",2017,1,0.86,0.09,0.05,0,0,0,0
"1312",2017,1,0.78,0.19,0.03,0,0,0,0
"1326",2017,1,0.96,0.04,0,0,0,0,0
"1440",2017,1,0.72,0.13,0.09,0.06,0,0,0
"1614",2017,1,0.89,0.04,0.04,0.01,0.01,0.01,0
"124",2017,1,0.15,0.34,0.28,0.11,0.1,0.02,0
"150",2017,1,0.03,0.24,0.26,0.19,0.2,0.08,0
"152",2017,1,0.66,0.17,0.11,0.02,0.03,0.01,0
"244",2017,1,0.97,0.03,0,0,0,0,0
"372",2017,1,0.93,0.07,0,0,0,0,0
"406",2017,1,0.92,0.05,0.02,0,0.01,0,0
"616",2017,1,0.81,0.11,0.05,0.01,0.01,0.01,0
"710",2017,1,0.62,0.15,0.08,0.07,0.05,0.03,0
"832",2017,1,0.97,0.02,0.01,0,0,0,0
"1030",2017,1,0.48,0.29,0.15,0.06,0.02,0,0
"1118",2017,1,1,0,0,0,0,0,0
"1146",2017,1,0.94,0.04,0.01,0,0.01,0,0
"1152",2017,1,0.54,0.27,0.1,0.03,0.05,0,0.01
"1154",2017,1,0.87,0.07,0.05,0,0.01,0,0
"1204",2017,1,0.4,0.32,0.14,0.07,0.05,0,0.02
"1232",2017,1,0.82,0.13,0.03,0.02,0,0,0
"1248",2017,1,0.53,0.25,0.12,0.07,0.03,0,0
"1350",2017,1,0.96,0.02,0.02,0,0,0,0
"1360",2017,1,0.66,0.17,0.07,0.07,0.02,0,0.01
"1476",2017,1,0.18,0.33,0.2,0.18,0.1,0,0.01
"1486",2017,1,0.67,0.28,0.04,0,0.01,0,0
"1510",2017,1,0.84,0.11,0.04,0,0.01,0,0
"1512",2017,1,0.97,0.03,0,0,0,0,0
"1588",2017,1,0.98,0.02,0,0,0,0,0
"1606",2017,1,0.51,0.2,0.16,0.07,0.03,0.02,0.01
"1608",2017,1,0.95,0.04,0.01,0,0,0,0
"1684",2017,1,0.64,0.25,0.05,0.03,0.03,0,0
"138",2017,1,0.46,0.26,0.11,0.08,0.07,0.02,0
"214",2017,1,0.9,0.09,0.01,0,0,0,0
"238",2017,1,0.89,0.06,0.04,0,0,0,0.01
"252",2017,1,0.97,0.03,0,0,0,0,0
"302",2017,1,0.94,0.03,0.02,0,0,0.01,0
"475",2017,1,0.69,0.14,0.13,0.03,0.01,0,0
"483",2017,1,0.98,0.01,0,0.01,0,0,0
"610",2017,1,0.38,0.33,0.18,0.06,0.05,0,0
"730",2017,1,0.64,0.14,0.07,0.08,0.04,0.03,0
"822",2017,1,0.55,0.12,0.12,0.03,0.13,0.03,0.02
"868",2017,1,0.34,0.34,0.17,0.11,0.03,0.01,0
"888",2017,1,0.89,0.11,0,0,0,0,0
"1032",2017,1,0.87,0.12,0,0,0.01,0,0
"1078",2017,1,0.75,0.15,0.05,0.04,0,0.01,0
"1086",2017,1,0.34,0.22,0.28,0.1,0.04,0.02,0
"1140",2017,1,0.86,0.1,0.04,0,0,0,0
"1342",2017,1,0.92,0.05,0.01,0.01,0,0.01,0
"1612",2017,1,0.51,0.41,0.07,0,0.01,0,0
"1624",2017,1,0.46,0.08,0.1,0.13,0.13,0.08,0.02
"1632",2017,1,0.52,0.28,0.14,0.06,0,0,0
"1656",2017,1,0.85,0.14,0.01,0,0,0,0
"1672",2017,1,0.94,0.04,0.02,0,0,0,0
"1674",2017,1,0.95,0.02,0,0.02,0,0,0.01
"1698",2017,1,0.95,0.04,0,0,0.01,0,0
"1700",2017,1,0.55,0.27,0.11,0.04,0.03,0,0
"1736",2017,1,0.23,0.26,0.24,0.16,0.05,0.06,0
"1741",2017,1,0.67,0.16,0.08,0.04,0.05,0,0
"118",2017,1,0.43,0.24,0.2,0.1,0.01,0.01,0.01
"192",2017,1,0.77,0.23,0,0,0,0,0
"320",2017,1,0.96,0.04,0,0,0,0,0
"364",2017,1,0.17,0.5,0.26,0.07,0,0,0
"516",2017,1,0.48,0.31,0.14,0.06,0,0.01,0
"548",2017,1,0.96,0.03,0,0,0,0.01,0
"690",2017,1,0.79,0.15,0.03,0.03,0,0,0
"696",2017,1,0.58,0.29,0.09,0.04,0,0,0
"810",2017,1,0.54,0.28,0.13,0.05,0,0,0
"842",2017,1,0.13,0.03,0.04,0.05,0.15,0.1,0.5
"872",2017,1,0.41,0.22,0.21,0.09,0.02,0.02,0.03
"884",2017,1,1,0,0,0,0,0,0
"904",2017,1,0.68,0.18,0.12,0.02,0,0,0
"1422",2017,1,0.8,0.14,0.04,0.01,0,0.01,0
"1484",2017,1,0.99,0.01,0,0,0,0,0
"1520",2017,1,1,0,0,0,0,0,0
"1526",2017,1,0.59,0.3,0.09,0.02,0,0,0
"1528",2017,1,0.97,0.01,0.02,0,0,0,0
"1552",2017,1,0.25,0.33,0.23,0.16,0.01,0.02,0
"1554",2017,1,0.24,0.32,0.24,0.19,0,0,0.01
"1664",2017,1,0.85,0.13,0.02,0,0,0,0
"1719",2017,1,0.55,0.18,0.1,0.1,0.03,0.03,0.01
"1720",2017,1,0.93,0.05,0.01,0,0.01,0,0
"1746",2017,1,0.93,0.03,0.03,0.01,0,0,0
"112",2017,1,0.73,0.21,0.03,0.02,0.01,0,0
"146",2017,1,0.25,0.21,0.32,0.12,0.04,0.02,0.04
"274",2017,1,0.84,0.08,0.04,0.03,0,0.01,0
"276",2017,1,0.49,0.42,0.06,0.03,0,0,0
"304",2017,1,0.73,0.18,0.05,0.03,0,0.01,0
"360",2017,1,0.35,0.37,0.21,0.05,0.01,0.01,0
"390",2017,1,1,0,0,0,0,0,0
"428",2017,1,0.83,0.12,0.04,0.01,0,0,0
"478",2017,1,0.76,0.14,0.07,0.02,0.01,0,0
"634",2017,1,0.99,0.01,0,0,0,0,0
"698",2017,1,1,0,0,0,0,0,0
"736",2017,1,0.57,0.26,0.13,0.03,0,0,0.01
"802",2017,1,0.95,0.04,0,0,0.01,0,0
