,V1,V2,V3,V4,V5,V6,V7
Stadium/pages/1156.txt,Tom Benson Hall of Fame Stadium,Fawcett Stadium,"2323 17th St NW -- Canton, Ohio  44708",Canton City School District,22400,Artificial,McKinley High Bulldogs_Malone College Pioneers
Stadium/pages/1158.txt,Alumni Stadium,Holzer Field,"500 Vaughn St -- Jackson, Ohio  45640",Jackson City Schools,6000,Artificial,Jackson Ironmen
Stadium/pages/1159.txt,Portsmouth West The Rock Stadium,,"15332 US Highway 52 -- West Portsmouth, Ohio  45663",West Portsmouth Schools,3500,Grass,Portsmouth West Senators
Stadium/pages/1160.txt,Robert C. Boulton Stadium,Byers Field,"7600 Day Dr -- Parma, Ohio  44129",Parma City School District,11423,Artificial,"Parma High School,_Normandy High School,_Valley Forge High School,_St. Ignatius School"
Stadium/pages/1161.txt,Harding Stadium,Reno Field,"1952 Calvin Jones Way -- Steubenville, Ohio  43952",Steubenville City Schools,10000,Excellent,"Steubenville's Big Red,_Steubenville Catholic Central"
Stadium/pages/1162.txt,Paul Brown Tiger Stadium,,"80 Paul E Brown Dr SE -- Massillon, Ohio  44646",Massillon City Schools,16884,Excellent,Massillon Tigers
Stadium/pages/1164.txt,Fitch Falcon Stadium,,"4560 Falcon Dr -- Austintown, Ohio  44515",Austintown Local School District,10000,Artificial,Fitch Falcons
Stadium/pages/1165.txt,Stambaugh Stadium,Beede Field,"280 W Scott St -- Youngstown, Ohio  44502",Youngstown State University,20630,Artificial,"Youngstown State Penguins,_Youngstown Ursuline,_Youngstown Mooney"
Stadium/pages/1166.txt,Warren G. Harding Mollenkoff Stadium,,"860 Elm Rd Ne -- Warren, Ohio  44483",Warren City Schools,15000,Artificial,"WG Harding Raiders,_JFK Catholic Eagles"
Stadium/pages/1237.txt,John D. Sulsberger Memorial Stadium,,"1701 Blue Ave -- Zanesville, Ohio  43701",Zanesville Schools,6000,Artificial,Zanesville Blue Devils
Stadium/pages/1273.txt,Pat Catan Stadium,Serpentini Field,"20025 Lunn Rd -- Strongsville, Ohio  44149",Strongsville City School District,5200,Artificial,Strongsville High School Mustangs
Stadium/pages/1297.txt,Bob Bishop Stadium,,"700 S Woodland Ave -- Clyde, Ohio  43410",Clyde-Green Springs Exempted Village,0,Artificial,Clyde Flyers
Stadium/pages/1304.txt,Dante Lavelli Stadium,,"65 N. Hayden Pkwy -- Hudson, Ohio  44236",City of Hudson,3500,Grass,Hudson Explorers
Stadium/pages/1311.txt,Stewart Field,,"33600 Inwood Drive -- Solon, Ohio  44139",Solon City Schools,5500,Artificial,Solon Comets
Stadium/pages/1318.txt,Willard R. Stargel Stadium,,"1509 John Street -- Cincinnati, Ohio  45202",Cincinnati Public Schools,3000,Artificial,"Robert A.Taft High School Senators,_Hughes Center High School Big Red"
Stadium/pages/1469.txt,Dowed Field,,"1 Holy Cross Blvd -- Akron, Ohio  44306",Archbishop Hoban School,2500,Artificial,Archbishop Hoban Knights
Stadium/pages/1470.txt,Dublin Scioto Stadium,,"4000 Hard Road -- Dublin, Ohio  43016",Dublin City Schools,5000,Artificial,Scioto Irish
Stadium/pages/1471.txt,Cardinal Stadium,,"8801 Cheviot Road -- Cincinnati, Ohio  45251",Northwest Local School,3293,Artificial,Colerain Cardinals
Stadium/pages/1472.txt,Piqua Alexander Stadium,Purk Field,"1 Indian Trail -- Piqua, Ohio  45356",Piqua City Schools,8200,Artificial,Piqua Indians
Stadium/pages/1473.txt,Troy Memorial Stadium,,"224 W Staunton Rd -- Troy, Ohio  45373",City of Troy,10510,Grass,Troy Trojans
Stadium/pages/1474.txt,Sidney Memorial Stadium,30-0 Field,"1040 S. 4th Avenue -- Sidney, Ohio  45365",Sidney City Schools,7000,Artificial,"Sidney Yellow Jackets,_Lehman Catholic  Cavaliers"
Stadium/pages/1475.txt,Centerville Alumni Stadium,Elks Field,"500 East Franklin Street -- Centerville, Ohio  45459",Centerville City Schools,9125,Good,Centerville Elks
Stadium/pages/1476.txt,Fred C. Yager Stadium,,"5480 Morning Sun Road -- Oxford, Ohio  45056",Miami University,28000,Artificial,Miami University RedHawks
Stadium/pages/1477.txt,Portsmouth Coliseum,Trojan Field,"1149 Gallia St -- Portsmouth, Ohio  45662",Portsmouth City Schools,5500,Artificial,Portsmouth Trojans
