X,nonOH_div,ST,School,Best.Name,Helm
2010_9001,NA,OH,Oyler Hatmakers,Oyler,
2011_10524,NA,KY,Bishop Brossart,Bishop Brossart,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopBrossart-2016.png"
2012_10524,NA,KY,Bishop Brossart,Bishop Brossart,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopBrossart-2016.png"
2013_10524,NA,KY,Bishop Brossart,Bishop Brossart,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopBrossart-2016.png"
2013_9990,NA,me,JV Opponent,JV Opponent,
2013_14678,NA,MD,Silver Oak Acad.,Silver Oak Acad.,
2014_9990,NA,me,JV Opponent,JV Opponent,
2016_11102,NA,MI,Camden-Frontier,Camden-Frontier,
2016_9914,NA,OH,North Adams (club) Green Devils,North Adams Green Devils,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/NorthAdams-2017_L.png"
2018_9901,NA,OH,Columbus Crusaders,Columbus Crusaders,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ColumbusCrusaders-2017_L.png"
2018_25228,NA,ON,Football North (via Clarkson SS),Clarkson Seconday,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_FootballNorth-2016_L.png"
2018_11779,NA,MI,Zeeland West,Zeeland West,
2018_13075,NA,IN,East Central,East Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_EastCentral-2016.png"
2018_25227,NA,ON,Royal Imperial Collegiate Knights,Royal Imperial Collegiate,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_RoyalImperialCollegiate-2016.png"
2018_21190,NA,IL,Phillips,Phillips,
2018_9900,NA,OH,Western Reserve Academy Pioneers,Western Reserve Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WRA-2017_L.png"
2018_11016,NA,MI,Ann Arbor Gabriel Richard,Ann Arbor Gabriel Richard,
2018_12363,NA,PA,Penn Hills,Penn Hills,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_PennHills-2017_L.png"
2018_11482,NA,MI,Millington Cardinals,Millington,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Millington-2016.png"
2018_13197,NA,IN,Lawrenceburg,Lawrenceburg,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Lawrenceburg-2016.png"
2018_12451,NA,PA,Greensburg Central Catholic,Greensburg Central Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_GreensboroCC-2017_L.png"
2018_13506,NA,TN,Austin-East,Austin-East,
2018_9916,NA,OH,KIPP Columbus,KIPP Columbus,
2018_10059,NA,WV,Madonna,Madonna,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WeirtonMadonna-2017_L.png"
2018_25237,NA,ON,Football North (via St Joseph),St Joseph,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StJosephs-2016.png"
2018_10626,NA,KY,Holy Cross (Covington),Covington Holy Cross,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_HolyCross-2016.png"
2018_10200,NA,WV,Linsly Cadets,Linsly Cadets,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Linsly-2015_L.png"
2018_9903,NA,OH,Landmark Eagles,Landmark Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Landmark-2015_L.png"
2018_10114,NA,WV,Tolsia,Tolsia,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Tolsia-2017_L.png"
2018_10691,NA,KY,Newport,Newport,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Newport-2016.png"
2018_9910,NA,OH,Dohn Community Panthers,Dohn Community,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Dohn-2014_L.png"
2018_9911,NA,OH,Reigning Sports Academy (club) Thunder,Reigning Sports Academy Thunder,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ReigningThunder-2016_L.png"
